book_id,file_name,title_guess,category_guess,source_type,priority,size_mb,modified_at,extract_status,processing_status,notes
book_3eb91110ed3d,1. Technical Analisis For Mega Profit.pdf,1 Technical Analisis For Mega Profit,supporting,supporting_reference,medium,20.03,2026-06-23T15:20:36+07:00,pending,not_processed,
book_9a383cbdc8f2,10. Ilmu Lazat Trading Chapter 3.pdf,10 Ilmu Lazat Trading Chapter 3,supporting,supporting_reference,medium,1.62,2026-06-23T15:22:01+07:00,pending,not_processed,
book_0f722c919417,11. Breakout Entry Zone Supply And Demand.pdf,11 Breakout Entry Zone Supply And Demand,support_resistance,technical_reference,high,1.09,2026-06-23T15:22:02+07:00,success,extracted,
book_dee27bc4e173,12. Bullish Engulfing.pdf,12 Bullish Engulfing,candlestick_pattern,technical_reference,high,2.99,2026-06-23T15:22:14+07:00,partial,partial,
book_9b4846d8ff12,13. 5 Powerful Bullish Candlestick Patterns.pdf,13 5 Powerful Bullish Candlestick Patterns,candlestick_pattern,technical_reference,high,5.69,2026-06-23T15:22:17+07:00,needs_ocr,needs_ocr,
book_9675d5a4cfeb,14. Introduction To Candlestick Patterns.pdf,14 Introduction To Candlestick Patterns,candlestick_pattern,technical_reference,high,0.78,2026-06-23T15:22:25+07:00,success,extracted,
book_a75806571c6b,15. Bullish And Bearish Engulfing.pdf,15 Bullish And Bearish Engulfing,candlestick_pattern,technical_reference,high,0.82,2026-06-23T15:22:28+07:00,success,extracted,
book_958fba81e8e9,16. Cara Membaca Posisi Candlestick.pdf,16 Cara Membaca Posisi Candlestick,candlestick_pattern,technical_reference,high,0.13,2026-06-23T15:22:39+07:00,success,extracted,
book_4952d4eff566,17. Triple Candlestick Patterns.pdf,17 Triple Candlestick Patterns,candlestick_pattern,technical_reference,high,1.64,2026-06-23T15:22:46+07:00,partial,partial,
book_68ee7a10b506,18. Double Candlestick Patterns.pdf,18 Double Candlestick Patterns,candlestick_pattern,technical_reference,high,2.43,2026-06-23T15:22:58+07:00,partial,partial,
book_be1adb6fe2a6,19. All Bearish Candle Stick Patterns.pdf,19 All Bearish Candle Stick Patterns,candlestick_pattern,technical_reference,high,2.82,2026-06-23T15:23:00+07:00,success,extracted,
book_5f3c6b148b98,2. Study Guide for Technical Analysis.pdf,2 Study Guide for Technical Analysis,supporting,supporting_reference,medium,2.99,2026-06-23T15:20:47+07:00,pending,not_processed,
book_48454f46783a,20. Fundamental Analysis AC.pdf,20 Fundamental Analysis AC,fundamental_analysis,fundamental_reference,medium_high,19.16,2026-06-23T15:23:24+07:00,pending,not_processed,
book_0a95beef4e60,21. Jenis Entry Trading Supply And Demand.pdf,21 Jenis Entry Trading Supply And Demand,support_resistance,technical_reference,high,0.37,2026-06-23T15:23:18+07:00,success,extracted,
book_83cfabfa14b3,22. Kamus Candlestik.pdf,22 Kamus Candlestik,supporting,supporting_reference,medium,1.46,2026-06-23T15:25:24+07:00,pending,not_processed,
book_1909065171a4,23. 5 Most Profitable Candlesticks.pdf,23 5 Most Profitable Candlesticks,supporting,supporting_reference,medium,2.4,2026-06-23T15:25:28+07:00,pending,not_processed,
book_448c7f2d5d28,24. Uptrend Pattern.pdf,24 Uptrend Pattern,chart_pattern,technical_reference,high,0.34,2026-06-23T15:25:37+07:00,pending,not_processed,
book_1d2fd4826149,25. From Gambler To Trader (SND).pdf,25 From Gambler To Trader (SND),supporting,supporting_reference,medium,1.9,2026-06-23T15:25:46+07:00,pending,not_processed,
book_d62b8c67d839,26. Candlesticks.pdf,26 Candlesticks,supporting,supporting_reference,medium,2.34,2026-06-23T15:26:02+07:00,pending,not_processed,
book_66c352a113eb,27. workbook analisis teknikal.pdf,27 workbook analisis teknikal,supporting,supporting_reference,medium,21.86,2026-06-23T15:26:09+07:00,pending,not_processed,
book_6b3af3bd2aaa,28. Advanced SMC.pdf,28 Advanced SMC,supporting,supporting_reference,medium,7.58,2026-06-23T15:26:09+07:00,pending,not_processed,
